Trip Duration,Start Time,Stop Time,Start Station ID,Start Station Name,Start Station Latitude,Start Station Longitude,End Station ID,End Station Name,End Station Latitude,End Station Longitude,Bike ID,User Type,Birth Year,Gender
376,7/1/2016 7:20,7/1/2016 7:26,3195,Sip Ave,40.73074263,-74.06378388,3193,Lincoln Park,40.7246051,-74.07840595,24512,Subscriber,1991,1
468,7/1/2016 7:20,7/1/2016 7:28,3192,Liberty Light Rail,40.7112423,-74.0557013,3186,Grove St PATH,40.71958612,-74.04311746,24407,Subscriber,1974,1
690,7/1/2016 7:22,7/1/2016 7:34,3210,Pershing Field,40.74267714,-74.05178863,3186,Grove St PATH,40.71958612,-74.04311746,24577,Subscriber,1967,1
672,7/1/2016 7:23,7/1/2016 7:34,3214,Essex Light Rail,40.7127742,-74.0364857,3202,Newport PATH,40.7272235,-74.0337589,24649,Subscriber,1979,1
535,7/1/2016 7:23,7/1/2016 7:32,3192,Liberty Light Rail,40.7112423,-74.0557013,3184,Paulus Hook,40.7141454,-74.0335519,24476,Subscriber,1967,1
538,7/1/2016 7:24,7/1/2016 7:33,3192,Liberty Light Rail,40.7112423,-74.0557013,3185,City Hall,40.7177325,-74.043845,24614,Subscriber,1978,2
455,7/1/2016 7:26,7/1/2016 7:33,3192,Liberty Light Rail,40.7112423,-74.0557013,3186,Grove St PATH,40.71958612,-74.04311746,24552,Subscriber,1977,1
263,7/1/2016 7:26,7/1/2016 7:30,3187,Warren St,40.7211236,-74.03805095,3199,Newport Pkwy,40.7287448,-74.0321082,24608,Subscriber,1983,1
453,7/1/2016 7:27,7/1/2016 7:34,3193,Lincoln Park,40.7246051,-74.07840595,3195,Sip Ave,40.73074263,-74.06378388,24467,Subscriber,1986,1
255,7/1/2016 7:28,7/1/2016 7:33,3203,Hamilton Park,40.72759597,-74.04424731,3186,Grove St PATH,40.71958612,-74.04311746,24466,Subscriber,1975,1
233,7/1/2016 7:28,7/1/2016 7:32,3214,Essex Light Rail,40.7127742,-74.0364857,3183,Exchange Place,40.7162469,-74.0334588,24511,Subscriber,1984,2
3244,7/1/2016 7:29,7/1/2016 8:23,3185,City Hall,40.7177325,-74.043845,3209,Brunswick St,40.7241765,-74.0506564,24684,Subscriber,1988,1
234,7/1/2016 7:35,7/1/2016 7:39,3209,Brunswick St,40.7241765,-74.0506564,3186,Grove St PATH,40.71958612,-74.04311746,24644,Subscriber,1991,1
820,7/1/2016 7:35,7/1/2016 7:49,3198,Heights Elevator,40.74871595,-74.0404433,3194,McGinley Square,40.72533993,-74.06762213,24583,Subscriber,1984,1
282,7/1/2016 7:37,7/1/2016 7:42,3187,Warren St,40.7211236,-74.03805095,3184,Paulus Hook,40.7141454,-74.0335519,24550,Subscriber,1982,1
967,7/1/2016 7:37,7/1/2016 7:54,3195,Sip Ave,40.73074263,-74.06378388,3207,Oakland Ave,40.7376037,-74.0524783,24436,Subscriber,1992,1
415,7/1/2016 7:38,7/1/2016 7:45,3192,Liberty Light Rail,40.7112423,-74.0557013,3186,Grove St PATH,40.71958612,-74.04311746,24474,Subscriber,1969,1
500,7/1/2016 7:41,7/1/2016 7:50,3206,Hilltop,40.7311689,-74.0575736,3203,Hamilton Park,40.72759597,-74.04424731,24520,Subscriber,1961,2
169,7/1/2016 7:42,7/1/2016 7:44,3211,Newark Ave,40.72152515,-74.04630454,3186,Grove St PATH,40.71958612,-74.04311746,24445,Subscriber,1989,1
487,7/1/2016 7:42,7/1/2016 7:50,3203,Hamilton Park,40.72759597,-74.04424731,3183,Exchange Place,40.7162469,-74.0334588,24561,Subscriber,1956,1
150,7/1/2016 7:43,7/1/2016 7:45,3214,Essex Light Rail,40.7127742,-74.0364857,3183,Exchange Place,40.7162469,-74.0334588,24562,Subscriber,1980,1
153,7/1/2016 7:43,7/1/2016 7:45,3214,Essex Light Rail,40.7127742,-74.0364857,3183,Exchange Place,40.7162469,-74.0334588,24452,Subscriber,1989,2
128,7/1/2016 7:43,7/1/2016 7:45,3214,Essex Light Rail,40.7127742,-74.0364857,3183,Exchange Place,40.7162469,-74.0334588,24650,Subscriber,1968,1
446,7/1/2016 7:45,7/1/2016 7:53,3195,Sip Ave,40.73074263,-74.06378388,3193,Lincoln Park,40.7246051,-74.07840595,24619,Subscriber,1983,1
157,7/1/2016 7:46,7/1/2016 7:48,3214,Essex Light Rail,40.7127742,-74.0364857,3183,Exchange Place,40.7162469,-74.0334588,24387,Subscriber,1990,1
554,7/1/2016 7:46,7/1/2016 7:56,3184,Paulus Hook,40.7141454,-74.0335519,3209,Brunswick St,40.7241765,-74.0506564,24612,Subscriber,1979,1
506,7/1/2016 7:48,7/1/2016 7:57,3203,Hamilton Park,40.72759597,-74.04424731,3183,Exchange Place,40.7162469,-74.0334588,24699,Subscriber,1956,1
1012,7/1/2016 7:48,7/1/2016 8:05,3225,Baldwin at Montgomery,40.7236589,-74.0641943,3199,Newport Pkwy,40.7287448,-74.0321082,24574,Subscriber,1984,1
202,7/1/2016 7:49,7/1/2016 7:52,3205,JC Medical Center,40.71653978,-74.04963791,3186,Grove St PATH,40.71958612,-74.04311746,24479,Subscriber,1984,1
140,7/1/2016 7:49,7/1/2016 7:51,3187,Warren St,40.7211236,-74.03805095,3186,Grove St PATH,40.71958612,-74.04311746,24713,Subscriber,1981,1
328,7/1/2016 7:50,7/1/2016 7:55,3220,5 Corners Library,40.73496102,-74.05950308,3209,Brunswick St,40.7241765,-74.0506564,24698,Subscriber,1978,1
375,7/1/2016 7:50,7/1/2016 7:57,3203,Hamilton Park,40.72759597,-74.04424731,3186,Grove St PATH,40.71958612,-74.04311746,24569,Subscriber,1968,1
390,7/1/2016 7:52,7/1/2016 7:59,3209,Brunswick St,40.7241765,-74.0506564,3186,Grove St PATH,40.71958612,-74.04311746,24582,Subscriber,1982,1
443,7/1/2016 7:53,7/1/2016 8:00,3183,Exchange Place,40.7162469,-74.0334588,3213,Van Vorst Park,40.71848892,-74.04772663,24561,Subscriber,1978,2
642,7/1/2016 7:53,7/1/2016 8:04,3210,Pershing Field,40.74267714,-74.05178863,3195,Sip Ave,40.73074263,-74.06378388,24458,Subscriber,1978,2
733,7/1/2016 7:54,7/1/2016 8:06,3183,Exchange Place,40.7162469,-74.0334588,3213,Van Vorst Park,40.71848892,-74.04772663,24429,Subscriber,1976,2
698,7/1/2016 7:56,7/1/2016 8:08,3215,Central Ave,40.7467299,-74.0492509,3195,Sip Ave,40.73074263,-74.06378388,24667,Subscriber,1984,1
